approximate_timing,maxVal,std,skewness,kurtosis_,max_deviation,centroids_ptp,centroids_mean,centroids_std,centroids_kurt,centroids_skew,sp_bandwidth_ptp,sp_bandwidth_mean,sp_bandwidth_std,sp_bandwidth_skew,fft_1,rms,p_t_p,crest_f,prediction
0:0.0 - 0:1.5,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,,0.001229909
0:1.5 - 0:3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,,0.001229909
0:3.0 - 0:4.5,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,,0.001229909
0:4.5 - 0:5.9,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,,0.001229909
0:5.9 - 0:7.4,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,,0.001229909
0:7.4 - 0:8.9,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,,0.001229909
0:8.9 - 0:10.4,10432.0,240.8,0.9,240.1,10422.0,15079.1,3849.1,6296.3,-0.9,1.0,8832.6,2344.8,3833.9,1.0,0.0,27.0,18663.0,386.0,0.0033442574
0:10.4 - 0:11.9,9523.0,540.3,-0.1,25.3,10349.9,2392.5,14185.7,369.0,0.6,-0.4,606.0,8681.8,99.3,-0.2,0.0,48.9,19834.0,194.6,0.00072326226
0:11.9 - 0:13.4,10607.0,844.5,-0.2,8.6,10570.6,3792.6,14596.5,630.8,0.9,0.8,1111.1,8709.6,130.0,-1.7,-0.5,39.8,20669.0,266.3,0.0009155035
0:13.4 - 0:14.9,21574.0,3435.1,0.0,0.5,21539.5,6184.6,17874.0,947.1,0.7,-0.4,4291.6,7483.9,756.4,-0.5,0.5,13.5,-29834.0,1594.3,0.9730083
0:14.9 - 0:16.3,11261.0,2336.4,-0.0,1.3,11359.9,3801.2,16577.3,831.4,-0.7,-0.1,1578.5,8460.5,359.4,-0.7,0.5,18.6,22583.0,604.9,0.9880812
0:16.3 - 0:17.8,11653.0,902.1,-0.0,7.6,11614.7,3106.9,14960.8,601.3,-0.3,0.2,631.0,8737.2,110.6,-0.6,0.5,35.1,21923.0,332.2,0.00046012778
0:17.8 - 0:19.3,10585.0,583.1,-0.1,16.0,10546.5,2468.2,14231.7,422.3,0.4,0.2,532.9,8663.2,99.2,0.1,0.0,45.8,19220.0,231.0,0.0009885489
0:19.3 - 0:20.8,10963.0,713.4,-0.0,18.3,10925.4,3279.6,14226.6,555.8,0.9,-0.7,1098.8,8666.3,144.0,-1.6,0.0,40.3,21631.0,272.0,0.00044743996
0:20.8 - 0:22.3,7735.0,648.7,-0.1,13.5,9855.0,2607.7,14058.0,457.6,0.2,-0.3,870.8,8624.0,139.0,-1.0,0.0,42.7,17553.0,181.4,0.0004947051
0:22.3 - 0:23.8,9047.0,591.6,-0.1,27.0,10206.9,1966.1,14231.1,384.6,-0.2,-0.3,728.7,8677.8,99.8,-0.7,0.0,47.1,19215.0,192.1,0.0005730131
0:23.8 - 0:25.3,10103.0,597.9,0.2,26.7,10063.9,1776.0,14217.3,280.4,0.1,-0.1,411.4,8670.5,78.0,-0.0,0.0,47.7,20126.0,212.0,0.0008941431
0:25.3 - 0:26.7,20209.0,1113.7,0.5,46.0,20170.7,5083.3,14478.8,704.1,10.1,2.7,2048.5,8680.8,190.6,-4.0,-0.5,45.1,-31793.0,448.0,0.0030573036
0:26.7 - 0:28.2,11835.0,2213.7,0.0,1.9,11924.8,4396.3,16533.0,814.2,0.1,0.7,2390.9,8374.8,462.0,-1.6,0.5,20.3,23721.0,582.5,0.9567222
0:28.2 - 0:29.7,10436.0,1006.8,-0.0,4.1,10397.3,2238.9,15194.1,469.0,-0.6,-0.0,820.3,8762.4,88.8,-1.9,0.5,33.0,20608.0,316.3,0.00044743996
0:29.7 - 0:31.2,10686.0,594.5,0.0,25.6,11609.4,2125.3,14495.3,380.1,-0.1,0.2,472.8,8725.1,73.4,0.0,0.0,47.1,22256.0,227.1,0.0008941431
0:31.2 - 0:32.7,9484.0,515.0,0.1,17.7,9445.9,1574.2,14211.9,313.5,-0.6,0.1,468.6,8688.0,81.3,-0.1,0.0,50.4,16621.0,188.3,0.0014585714
