approximate_timing,mean,max,diff,standard_deviation,variance,skewness,kurtosis,median_absolute,maximum_deviation,abs_mean,rms,peak_to_peak,prediction,label
0:0.0 - 0:1.5,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0009835004,0
0:1.5 - 0:3.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0009835004,0
0:3.0 - 0:4.5,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0009835004,0
0:4.5 - 0:5.9,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0009835004,0
0:5.9 - 0:7.4,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0009835004,0
0:7.4 - 0:8.9,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0009835004,0
0:8.9 - 0:10.4,10.0,10432.0,10422.0,240.8,57971.8,0.9,240.1,0.0,10422.0,75.0,27.0,18663.0,0.0007108969,0
0:10.4 - 0:11.9,38.9,9523.0,9484.1,540.3,291928.9,-0.1,25.3,237.0,10349.9,343.9,48.9,19834.0,0.016930541,0
0:11.9 - 0:13.4,36.4,10607.0,10570.6,844.5,713124.1,-0.2,8.6,372.0,10570.6,561.8,39.8,20669.0,0.0022828705,0
0:13.4 - 0:14.9,34.5,21574.0,21539.5,3435.1,11799981.0,0.0,0.5,2134.0,21539.5,2661.4,13.5,-29834.0,0.92120564,1
0:14.9 - 0:16.3,37.9,11261.0,11223.1,2336.4,5458989.9,-0.0,1.3,1316.0,11359.9,1744.5,18.6,22583.0,0.9418083,1
0:16.3 - 0:17.8,38.3,11653.0,11614.7,902.1,813873.2,-0.0,7.6,473.0,11614.7,642.9,35.1,21923.0,0.0014015631,0
0:17.8 - 0:19.3,38.5,10585.0,10546.5,583.1,340009.3,-0.1,16.0,268.0,10546.5,385.9,45.8,19220.0,0.0016381004,0
0:19.3 - 0:20.8,37.6,10963.0,10925.4,713.4,508950.1,-0.0,18.3,331.0,10925.4,468.4,40.3,21631.0,0.0015633479,0
0:20.8 - 0:22.3,37.0,7735.0,7698.0,648.7,420795.8,-0.1,13.5,320.0,9855.0,443.4,42.7,17553.0,0.0011923959,0
0:22.3 - 0:23.8,38.9,9047.0,9008.1,591.6,349977.3,-0.1,27.0,250.0,10206.9,368.6,47.1,19215.0,0.008688976,0
0:23.8 - 0:25.3,39.1,10103.0,10063.9,597.9,357429.6,0.2,26.7,238.0,10063.9,363.2,47.7,20126.0,0.004277256,0
0:25.3 - 0:26.7,38.3,20209.0,20170.7,1113.7,1240389.4,0.5,46.0,276.0,20170.7,527.4,45.1,-31793.0,0.0019373383,0
0:26.7 - 0:28.2,38.8,11835.0,11796.2,2213.7,4900596.4,0.0,1.9,1186.0,11924.8,1623.7,20.3,23721.0,0.9053393,1
0:28.2 - 0:29.7,38.7,10436.0,10397.3,1006.8,1013584.4,-0.0,4.1,518.0,10397.3,719.9,33.0,20608.0,0.0017286103,0
0:29.7 - 0:31.2,39.4,10686.0,10646.6,594.5,353437.8,0.0,25.6,255.0,11609.4,375.5,47.1,22256.0,0.0038692732,0
0:31.2 - 0:32.7,38.1,9484.0,9445.9,515.0,265223.8,0.1,17.7,221.0,9445.9,330.4,50.4,16621.0,0.0008162915,0
0:32.7 - 0:34.2,38.9,10149.0,10110.1,587.1,344713.6,-0.1,33.5,229.0,11322.9,350.4,49.1,21433.0,0.015334228,0
0:34.2 - 0:35.7,39.0,7210.0,7171.0,497.4,247417.8,0.1,19.2,204.0,7171.0,310.0,51.7,13598.0,0.002022547,0
0:35.7 - 0:37.1,38.8,11133.0,11094.2,529.2,280103.6,0.4,37.0,207.0,11094.2,315.7,50.8,20797.0,0.0017002302,0
0:37.1 - 0:38.6,39.1,11507.0,11467.9,545.3,297300.3,0.1,27.8,234.0,11467.9,343.0,49.5,19958.0,0.0034696865,0
0:38.6 - 0:40.1,39.1,11238.0,11198.9,544.0,295956.8,0.4,31.8,228.0,11198.9,336.8,48.6,20376.0,0.0038692732,0
0:40.1 - 0:41.6,39.3,10936.0,10896.7,596.4,355726.5,0.2,22.1,247.0,10896.7,372.6,48.1,20182.0,0.0038692732,0
0:41.6 - 0:43.1,39.2,10935.0,10895.8,551.9,304580.2,0.2,29.5,224.0,10895.8,340.5,49.0,20350.0,0.0038692732,0
0:43.1 - 0:44.6,38.8,7423.0,7384.2,511.1,261206.5,0.0,10.1,239.0,7384.2,348.5,47.9,14258.0,0.0008878219,0
0:44.6 - 0:46.1,38.6,21210.0,21171.4,1763.8,3111086.5,0.3,14.2,521.0,21171.4,988.2,33.4,-28411.0,0.0019373383,0
0:46.1 - 0:47.6,37.2,12170.0,12132.8,2755.7,7593828.0,0.0,0.6,1692.0,12132.8,2126.1,15.4,24131.0,0.92866737,1
0:47.6 - 0:49.0,36.2,10263.0,10226.8,1504.3,2262901.6,-0.0,1.2,883.0,10226.8,1138.2,27.1,18842.0,0.0009397993,0
0:49.0 - 0:50.5,36.6,6753.0,6716.4,862.1,743133.8,-0.0,1.7,505.0,6716.4,650.9,34.7,12918.0,0.001030948,0
0:50.5 - 0:52.0,39.2,10467.0,10427.8,818.9,670659.4,0.1,3.5,479.0,10427.8,614.1,34.8,18333.0,0.002022547,0
0:52.0 - 0:53.5,36.3,8361.0,8324.7,754.4,569124.6,0.1,3.4,443.0,8324.7,565.6,37.3,15145.0,0.0006408087,0
0:53.5 - 0:55.0,38.7,12097.0,12058.3,761.0,579184.3,0.1,10.1,418.0,12058.3,550.2,37.0,23981.0,0.0016695234,0
0:55.0 - 0:56.5,39.6,6513.0,6473.4,643.5,414039.3,0.0,2.1,385.0,6473.4,489.4,39.0,11080.0,0.0005790126,0
0:56.5 - 0:58.0,39.2,10420.0,10380.8,672.8,452606.4,-0.0,6.0,385.0,10380.8,497.3,39.4,19934.0,0.004277256,0
0:58.0 - 0:59.4,38.9,8709.0,8670.1,632.5,400107.0,0.0,4.1,372.0,8670.1,474.4,39.1,15281.0,0.004345251,0
0:59.4 - 1:0.9,39.1,9148.0,9108.9,605.4,366489.2,-0.1,5.7,359.0,11316.1,456.4,40.1,20425.0,0.0071798516,0
1:0.9 - 1:2.4,39.6,9740.0,9700.4,627.0,393135.9,0.1,4.7,364.0,9700.4,468.7,39.1,16549.0,0.002022547,0
1:2.4 - 1:3.9,47.9,11248.0,11200.1,656.8,431443.8,0.0,5.0,425.0,11200.1,511.5,36.0,20324.0,0.0044408897,0
1:3.9 - 1:5.4,51.5,6259.0,6207.5,725.1,525808.1,-0.1,2.1,450.0,7518.5,557.5,36.3,13726.0,0.001305115,0
1:5.4 - 1:6.9,53.0,16500.0,16447.0,3139.4,9855591.7,0.2,3.5,1332.0,16447.0,2123.5,21.5,31271.0,0.96894985,1
1:6.9 - 1:8.4,52.3,12681.0,12628.7,1540.8,2374107.7,-0.0,0.9,987.0,14052.3,1203.3,24.2,26681.0,0.00047241923,0
1:8.4 - 1:9.8,54.4,11497.0,11442.6,1458.7,2127944.7,0.0,3.3,866.0,11442.6,1091.9,25.7,21787.0,0.0072081154,0
1:9.8 - 1:11.3,50.9,11217.0,11166.1,1420.3,2017285.9,-0.1,5.3,799.0,12625.9,1034.0,27.1,23792.0,0.013275037,0
1:11.3 - 1:12.8,50.8,8644.0,8593.2,1339.7,1794723.5,0.1,0.6,845.5,8593.2,1043.5,26.3,16308.0,0.00044309994,0
1:12.8 - 1:14.3,52.3,4365.0,4312.7,992.6,985261.8,-0.1,0.3,630.0,4343.3,778.6,30.4,8656.0,0.00077810197,0
1:14.3 - 1:15.8,48.6,3194.0,3145.4,764.4,584329.6,-0.0,0.2,505.0,3366.6,606.0,34.7,6512.0,0.0005218904,0
